"순서","시설ID","컨텐츠 명","사용유무","테마 타입","x 좌표","y 좌표","좌표 배열","좌표타입","메인 이미지","새 주소","구 주소","우편번호","국가 지점 번호","테마 명","거리","업데이트 일","등록일","이미지 URL1","이미지 URL2","이미지 URL3","이미지 URL4","이미지 URL5","동영상 URL","음성파일 URL","평가 점수","평가자 인원","상세정보 이름 1","상세정보 값 1","상세정보 이름 2","상세정보 값 2","상세정보 이름 3","상세정보 값 3","상세정보 이름 4","상세정보 값 4","상세정보 이름 5","상세정보 값 5","상세정보 이름 6","상세정보 값 6","상세정보 이름 7","상세정보 값 7","상세정보 이름 8","상세정보 값 8","상세정보 이름 9","상세정보 값 9","상세정보 이름 10","상세정보 값 10"
"358","중랑구_자전거거치대_107","자전거 거치대","사용","일반","127.091146518","37.604575759","[127.0911465180571337.604575759324234]","Point","","서울특별시 중랑구 봉화산로 162","서울특별시 중랑구 상봉동 483","02075","다사63915620","자전거 편의시설","12326.880398","2022-03-10 17:12:01","2022-03-10 17:12:01","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"359","중랑구_자전거거치대_105","자전거 거치대","사용","일반","127.088765554","37.580459654","[127.088765553930337.580459654466594]","Point","","서울특별시 중랑구 면목로 320","서울특별시 중랑구 면목동 611-1","02249","다사63685353","자전거 편의시설","11523.062138","2022-03-10 14:16:38","2022-03-10 14:16:38","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"360","중랑구_자전거거치대_113","자전거 거치대","사용","일반","127.080194953","37.599061591","[127.0801949526520937.59906159059255]","Point","","서울특별시 중랑구 동일로 768","서울특별시 중랑구 중화동 294-7","02094","다사62945559","자전거 편의시설","11112.632123","2022-03-10 17:22:28","2022-03-10 17:22:28","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"361","중랑구_자전거거치대_98","자전거 거치대","사용","일반","127.094523110","37.584912081","[127.0945231097683537.584912081079224]","Point","","","서울특별시 중랑구 면목동 49-5","","다사64205402","자전거 편의시설","12161.348590","2022-03-10 14:10:36","2022-03-10 14:10:36","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"362","중랑구_자전거거치대_91","자전거 거치대","사용","일반","127.080998854","37.595787471","[127.0809988541577437.595787470507986]","Point","","서울특별시 중랑구 망우로 253","서울특별시 중랑구 상봉동 117-2","02098","다사63015523","자전거 편의시설","11091.185215","2022-03-10 13:56:11","2022-03-10 13:56:11","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"363","중랑구_자전거거치대_84","자전거 거치대","사용","일반","127.104481863","37.612039324","[127.1044818625870837.61203932407063]","Point","","서울특별시 중랑구 용마산로136길 60","서울특별시 중랑구 망우동 319-6","02057","다사65095702","자전거 편의시설","13834.022250","2022-03-10 13:37:04","2022-03-10 13:37:04","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"364","중랑구_자전거거치대_75","자전거 거치대","사용","일반","127.093186098","37.596484559","[127.0931860981301837.59648455876602]","Point","","서울특별시 중랑구 상봉로 118","서울특별시 중랑구 망우동 506-1","02169","다사64085530","자전거 편의시설","12282.371111","2022-03-10 13:03:37","2022-03-10 13:03:37","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"365","중랑구_자전거거치대_74","자전거 거치대","사용","일반","127.079704056","37.599326310","[127.0797040561847837.59932630980092]","Point","","서울특별시 중랑구 동일로 771","서울특별시 중랑구 중화동 301-2","02103","다사62895562","자전거 편의시설","11074.418552","2022-03-10 13:02:21","2022-03-10 13:02:21","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"366","중랑구_자전거거치대_68","자전거 거치대","사용","일반","127.087434974","37.589556488","[127.0874349744968337.5895564877611]","Point","","서울특별시 중랑구 면목로 422","서울특별시 중랑구 면목동 282-6","02161","다사63575454","자전거 편의시설","11556.725907","2022-03-10 12:51:37","2022-03-10 12:51:37","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"367","중랑구_자전거거치대_86","자전거 거치대","사용","일반","127.098767169","37.595464350","[127.0987671692969837.5954643504734]","Point","","서울특별시 중랑구 봉우재로 233","서울특별시 중랑구 망우동 534-23","02172","다사64585519","자전거 편의시설","12796.285256","2022-03-10 13:42:38","2022-03-10 13:42:38","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"368","중랑구_자전거거치대_85","자전거 거치대","사용","일반","127.080481933","37.614943868","[127.0804819331863237.614943868251366]","Point","","서울특별시 중랑구 숙선옹주로3길 20-37","서울특별시 중랑구 묵동 110-3","02031","다사62975736","자전거 편의시설","11734.944491","2022-03-10 13:39:44","2022-03-10 13:39:44","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"369","중랑구_자전거거치대_66","자전거 거치대","사용","일반","127.096581241","37.586080353","[127.0965812413576837.58608035309772]","Point","","서울특별시 중랑구 용마산로90길 28-7","서울특별시 중랑구 면목동 53-8","02192","다사64385415","자전거 편의시설","12384.343393","2022-03-10 12:49:20","2022-03-10 12:49:20","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"370","중랑구_자전거거치대_106","자전거 거치대","사용","일반","127.095110604","37.606518614","[127.0951106043961437.60651861435761]","Point","","서울특별시 중랑구 봉화산로 194","서울특별시 중랑구 신내동 666","02076","다사64265642","자전거 편의시설","12765.193747","2022-03-10 14:15:35","2022-03-10 14:15:35","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"371","중랑구_자전거거치대_83","자전거 거치대","사용","일반","127.078927805","37.603454995","[127.0789278047505837.60345499534225]","Point","","서울특별시 중랑구 동일로 817","서울특별시 중랑구 중화동 305-70","02017","다사62835608","자전거 편의시설","11139.730818","2022-03-10 13:35:54","2022-03-10 13:35:54","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"372","중랑구_자전거거치대_72","자전거 거치대","사용","일반","127.081314174","37.602463738","[127.0813141744052837.60246373836592]","Point","","서울특별시 중랑구 동일로136길 31","서울특별시 중랑구 중화동 127-2","02049","다사63045597","자전거 편의시설","11329.426633","2022-03-10 13:00:50","2022-03-10 13:00:50","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"373","중랑구_자전거거치대_70","자전거 거치대","사용","일반","127.087909814","37.580561584","[127.0879098143548337.58056158353619]","Point","","서울특별시 중랑구 사가정로 390","서울특별시 중랑구 면목동 634-54","02238","다사63615354","자전거 편의시설","11439.813896","2022-03-10 12:52:46","2022-03-10 12:52:46","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"374","중랑구_자전거거치대_63","자전거 거치대","사용","일반","127.084542645","37.618080156","[127.0845426448297837.61808015617755]","Point","","서울특별시 중랑구 신내로23길 57","서울특별시 중랑구 묵동 12","02022","다사63335770","자전거 편의시설","12237.224701","2022-03-10 12:41:46","2022-03-10 12:41:46","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"375","중랑구_자전거거치대_65","자전거 거치대","사용","일반","127.087349568","37.588722244","[127.0873495683105337.58872224437423]","Point","","서울특별시 중랑구 면목로 414","서울특별시 중랑구 면목동 120-30","02161","다사63565444","자전거 편의시설","11530.328211","2022-03-10 12:48:48","2022-03-10 12:48:48","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"376","중랑구_자전거거치대_55","자전거 거치대","사용","일반","127.075908934","37.606450141","[127.075908934229737.606450140711985]","Point","","","서울특별시 중랑구 묵동 195-9","","다사62565642","자전거 편의시설","10969.759507","2022-03-10 12:32:00","2022-03-10 12:32:00","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"377","중랑구_자전거거치대_71","자전거 거치대","사용","일반","127.108687349","37.606438431","[127.108687348621737.60643843050994]","Point","","서울특별시 중랑구 송림길 156","서울특별시 중랑구 망우동 241-2","02062","다사65465640","자전거 편의시설","14050.715636","2022-03-10 12:59:54","2022-03-10 12:59:54","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"378","중랑구_자전거거치대_67","자전거 거치대","사용","일반","127.080392953","37.600842155","[127.0803929525888537.60084215485646]","Point","","서울특별시 중랑구 동일로 780","서울특별시 중랑구 중화동 288-26","02088","다사62965579","자전거 편의시설","11188.552859","2022-03-10 12:51:09","2022-03-10 12:51:09","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"379","중랑구_자전거거치대_89","자전거 거치대","사용","일반","127.093028296","37.616813771","[127.0930282961899137.616813770954096]","Point","","서울특별시 중랑구 신내로 208","서울특별시 중랑구 신내동 640","02052","다사64085756","자전거 편의시설","12952.313198","2022-03-10 13:44:54","2022-03-10 13:44:54","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"380","중랑구_자전거거치대_51","자전거 거치대","사용","일반","127.095203328","37.605585636","[127.0952033277635637.60558563576621]","Point","","서울특별시 중랑구 신내로 71","서울특별시 중랑구 신내동 559-2","02076","다사64275631","자전거 편의시설","12743.299827","2022-03-10 10:52:45","2022-03-10 10:52:45","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"381","중랑구_자전거거치대_49","자전거 거치대","사용","일반","127.105203844","37.618401441","[127.1052038442665137.61840144120189]","Point","","서울특별시 중랑구 신내역로3길 40-11","서울특별시 중랑구 신내동 258-11","02055","다사65155773","자전거 편의시설","14133.568981","2022-03-10 10:46:11","2022-03-10 10:46:11","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"382","중랑구_자전거거치대_46","자전거 거치대","사용","일반","127.101479151","37.600203010","[127.1014791506368237.60020301047802]","Point","","서울특별시 중랑구 망우로 445","서울특별시 중랑구 망우동 534-5","02059","다사64825571","자전거 편의시설","13181.062353","2022-03-10 10:42:32","2022-03-10 10:42:32","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"383","중랑구_자전거보관대_38","자전거 거치대","사용","일반","127.092475505","37.605409822","[127.0924755047814337.605409821576345]","Point","","서울특별시 중랑구 봉화산로 174","서울특별시 중랑구 상봉동 482","02075","다사64025629","자전거 편의시설","12479.831838","2022-03-10 10:35:36","2022-03-10 10:35:36","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"384","중랑구_자전거거치대_37","자전거 거치대","사용","일반","127.095473790","37.606618581","[127.095473789591637.60661858105937]","Point","","서울특별시 중랑구 신내로 82","서울특별시 중랑구 신내동 667","02067","다사64295643","자전거 편의시설","12802.771765","2022-03-10 10:32:20","2022-03-10 10:32:20","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"385","중랑구_자전거거치대_32","자전거 거치대","사용","일반","127.109524493","37.603880403","[127.1095244934671637.60388040312799]","Point","","서울특별시 중랑구 양원역로 32","서울특별시 중랑구 망우동 82-2","02062","다사65535612","자전거 편의시설","14056.136420","2022-03-10 10:26:21","2022-03-10 10:26:21","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"386","중랑구_자전거거치대_69","자전거 거치대","사용","일반","127.085592309","37.597258216","[127.0855923092397437.59725821611306]","Point","","서울특별시 중랑구 동일로126다길 34","서울특별시 중랑구 상봉동 315-103","02097","다사63415539","자전거 편의시설","11573.403609","2022-03-10 12:52:17","2022-03-10 12:52:17","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"387","중랑구_자전거거치대_96","자전거 거치대","사용","일반","127.095270570","37.600332467","[127.0952705697793937.600332467076555]","Point","","서울특별시 중랑구 망우로55길 69","서울특별시 중랑구 상봉동 405-1","02086","다사64275573","자전거 편의시설","12588.740604","2022-03-10 14:08:52","2022-03-10 14:08:52","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"388","중랑구_자전거거치대_42","자전거 거치대","사용","일반","127.084651907","37.619646500","[127.0846519069901737.61964649954105]","Point","","서울특별시 중랑구 신내로23길 36","서울특별시 중랑구 묵동 5-1","02021","다사63345788","자전거 편의시설","12316.810833","2022-03-10 10:40:35","2022-03-10 10:40:35","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"389","중랑구_자전거거치대_34","자전거 거치대","사용","일반","127.075162474","37.594631851","[127.0751624741986337.59463185128912]","Point","","서울특별시 중랑구 중랑역로 9","서울특별시 중랑구 중화동 73-7","02110","다사62495510","자전거 편의시설","10498.979271","2022-03-10 10:27:59","2022-03-10 10:27:59","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"390","중랑구_자전거거치대_50","자전거 거치대","사용","일반","127.092536762","37.606150520","[127.092536762346137.60615051978871]","Point","","서울특별시 중랑구 봉화산로 179","서울특별시 중랑구 신내동 662","02043","다사64035638","자전거 편의시설","12510.285589","2022-03-10 10:47:04","2022-03-10 10:47:04","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"391","중랑구_자전거거치대_76","자전거 거치대","사용","일반","127.093586785","37.616058448","[127.0935867846850437.61605844828752]","Point","","서울특별시 중랑구 신내로 201","서울특별시 중랑구 신내동 645","02024","다사64135747","자전거 편의시설","12972.950133","2022-03-10 13:03:59","2022-03-10 13:03:59","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"392","중랑구_자전거거치대_57","자전거 거치대","사용","일반","127.091363488","37.599988982","[127.0913634879117537.59998898239288]","Point","","서울특별시 중랑구 상봉중앙로1다길 71","서울특별시 중랑구 상봉동 172-2","02081","다사63925569","자전거 편의시설","12204.904229","2022-03-10 12:33:17","2022-03-10 12:33:17","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
